post_slug,url,supports,verified
shopify-development-cost-2026,https://www.shopify.com/pricing,"Shopify's own plan ladder and the third-party payment provider transaction fee tiers (2% Basic, 1% Grow, 0.6% Advanced, 0.2% Plus) - the recurring platform cost that sits underneath any dev quote.",2026-07-29 200; note the page localises currency by visitor geo
shopify-development-cost-2026,https://shopify.dev/docs/storefronts/themes/architecture,"What custom Shopify work actually consists of: the required theme directory structure (assets, blocks, config, layout, locales, sections, snippets, templates) and that only layout/theme.liquid is mandatory.",2026-07-29 200
shopify-development-cost-2026,https://help.shopify.com/en/manual/intro-to-shopify/pricing-plans/plans-features,"Shopify's official current plan list (Starter, Lite, Retail, Basic, Grow, Advanced, Plus, enterprise, Agentic) - stops the post naming stale plans.",2026-07-29 200
shopify-development-cost-2026,https://developers.google.com/search/docs/appearance/structured-data/faqpage,"Google's own docs now state the FAQ rich result 'is no longer shown in Google Search results, as announced in the changelog entry in May 2026'. Expanding these FAQ blocks is therefore an on-page UX and AI-citation play, NOT a rich-snippet play - do not promise FAQ rich results in the copy.",2026-07-29 200
website-cost-small-business-usa-2026,https://www.census.gov/retail/ecommerce.html,"US Census Bureau: Q1 2026 e-commerce retail sales were $326.7 billion, 16.9% of total retail sales - the demand-side case for the spend.",2026-07-29 200
website-cost-small-business-usa-2026,https://web.dev/articles/vitals,"Google's own Core Web Vitals 'good' thresholds (LCP within 2.5s, INP 200ms or less, CLS 0.1 or less, at the 75th percentile) - the objective bar a cheap build usually fails.",2026-07-29 200
website-cost-small-business-usa-2026,https://www.sba.gov/business-guide/manage-your-business/marketing-sales,US Small Business Administration on budgeting marketing spend and on paying fees to accept payments online - a neutral government anchor for the 'what am I really paying for' section.,2026-07-29 200
website-cost-small-business-usa-2026,https://developers.google.com/search/docs/appearance/structured-data/faqpage,"Google's own docs now state the FAQ rich result 'is no longer shown in Google Search results, as announced in the changelog entry in May 2026'. Expanding these FAQ blocks is therefore an on-page UX and AI-citation play, NOT a rich-snippet play - do not promise FAQ rich results in the copy.",2026-07-29 200
best-web-design-companies-small-business-australia,https://business.gov.au/online-and-digital/business-website,"Official Australian government guidance on setting up, designing and maintaining a business website, incl. registering a domain and SEO.",2026-07-29 200
best-web-design-companies-small-business-australia,https://www.abs.gov.au/statistics/economy/business-indicators/counts-australian-businesses-including-entries-and-exits/latest-release,"ABS: 2,729,648 actively trading businesses in Australia at 30 June 2025, of which 1,735,313 are non-employing - sizes the small-business market the post is written for.",2026-07-29 200
best-web-design-companies-small-business-australia,https://www.auda.org.au/policy/au-domain-administration-rules-licensing,"auDA licensing rules: a .com.au domain requires an Australian Presence (an ABN qualifies), Commercial Entity status, and a name that matches the applicant - a real constraint on an AU web project.",2026-07-29 200
best-web-design-companies-small-business-australia,https://developers.google.com/search/docs/appearance/structured-data/faqpage,"Google's own docs now state the FAQ rich result 'is no longer shown in Google Search results, as announced in the changelog entry in May 2026'. Expanding these FAQ blocks is therefore an on-page UX and AI-citation play, NOT a rich-snippet play - do not promise FAQ rich results in the copy.",2026-07-29 200
best-ecommerce-agency-small-business-australia-2026,https://www.abs.gov.au/statistics/industry/retail-and-wholesale-trade/retail-trade-australia/latest-release,"ABS Retail Trade, June 2025: online sales as a proportion of total retailing rose from 11.9% to 12.7%; turnover $37,906.6m seasonally adjusted - the real size of the AU online channel.",2026-07-29 200
best-ecommerce-agency-small-business-australia-2026,https://business.gov.au/online-and-digital/ecommerce,"Official AU government guidance on selling online: platform options (own site, marketplaces, social), secure payment methods, and the duty to tell customers about applicable consumer guarantees.",2026-07-29 200
best-ecommerce-agency-small-business-australia-2026,https://www.auda.org.au/policy/au-domain-administration-rules-licensing,The .com.au Australian Presence / Commercial Entity eligibility rules an AU store has to satisfy before launch.,2026-07-29 200
best-ecommerce-agency-small-business-australia-2026,https://developers.google.com/search/docs/appearance/structured-data/faqpage,"Google's own docs now state the FAQ rich result 'is no longer shown in Google Search results, as announced in the changelog entry in May 2026'. Expanding these FAQ blocks is therefore an on-page UX and AI-citation play, NOT a rich-snippet play - do not promise FAQ rich results in the copy.",2026-07-29 200
best-web-design-agency-us-small-business-2026,https://developers.google.com/search/docs/fundamentals/seo-starter-guide,"Google's own words on timelines and on whether you need to hire anyone: 'Some changes might take effect in a few hours, others could take several months' and 'Short on time or not feeling adventurous? You might consider hiring a professional.'",2026-07-29 200
best-web-design-agency-us-small-business-2026,https://web.dev/articles/vitals,"Core Web Vitals 'good' thresholds (LCP 2.5s, INP 200ms, CLS 0.1) as the measurable standard to hold an agency to.",2026-07-29 200
best-web-design-agency-us-small-business-2026,https://www.census.gov/retail/ecommerce.html,US Census Bureau Q1 2026: e-commerce was 16.9% of total US retail sales ($326.7bn) - the commercial stake in getting the site right.,2026-07-29 200
best-web-design-agency-us-small-business-2026,https://developers.google.com/search/docs/appearance/structured-data/faqpage,"Google's own docs now state the FAQ rich result 'is no longer shown in Google Search results, as announced in the changelog entry in May 2026'. Expanding these FAQ blocks is therefore an on-page UX and AI-citation play, NOT a rich-snippet play - do not promise FAQ rich results in the copy.",2026-07-29 200
shopify-vs-custom-website-us-small-business-2026,https://shopify.dev/docs/storefronts/headless,"Shopify's official position that 'custom' on Shopify means headless - Hydrogen framework plus Oxygen hosting, or bring-your-own-stack against the composable APIs. Reframes the vs-question accurately.",2026-07-29 200
shopify-vs-custom-website-us-small-business-2026,https://shopify.dev/docs/storefronts/themes/architecture,"The Liquid theme architecture a stock Shopify build is constrained by, which is the actual boundary the 'custom' question is about.",2026-07-29 200
shopify-vs-custom-website-us-small-business-2026,https://www.shopify.com/pricing,The third-party payment provider fee tiers (2% / 1% / 0.6% / 0.2%) that make up the ongoing cost side of the comparison.,2026-07-29 200; page localises currency by visitor geo
shopify-vs-custom-website-us-small-business-2026,https://developers.google.com/search/docs/appearance/structured-data/faqpage,"Google's own docs now state the FAQ rich result 'is no longer shown in Google Search results, as announced in the changelog entry in May 2026'. Expanding these FAQ blocks is therefore an on-page UX and AI-citation play, NOT a rich-snippet play - do not promise FAQ rich results in the copy.",2026-07-29 200
best-web-design-agencies-small-business-2026,https://developers.google.com/search/docs/fundamentals/seo-starter-guide,"Google on realistic timelines ('a few hours' to 'several months') and on hiring a professional being optional, not mandatory.",2026-07-29 200
best-web-design-agencies-small-business-2026,https://web.dev/articles/vitals,Core Web Vitals thresholds as the objective yardstick for judging an agency's output rather than taking its word.,2026-07-29 200
best-web-design-agencies-small-business-2026,https://www.sba.gov/business-guide/manage-your-business/marketing-sales,SBA guidance on costing a marketing plan and tracking ROI - the neutral frame for 'is an agency worth it'.,2026-07-29 200
best-web-design-agencies-small-business-2026,https://developers.google.com/search/docs/appearance/structured-data/faqpage,"Google's own docs now state the FAQ rich result 'is no longer shown in Google Search results, as announced in the changelog entry in May 2026'. Expanding these FAQ blocks is therefore an on-page UX and AI-citation play, NOT a rich-snippet play - do not promise FAQ rich results in the copy.",2026-07-29 200
webflow-vs-wordpress-us-small-business-2026,https://w3techs.com/technologies/details/cm-wordpress,"W3Techs survey dated 28 July 2026: WordPress is used by 59.1% of all sites whose CMS is known, which is 41.2% of all websites. Settles the 'is WordPress dying' question with a dated number.",2026-07-29 200
webflow-vs-wordpress-us-small-business-2026,https://wordpress.org/documentation/article/requirements/,"WordPress.org's own hosting requirements - PHP 8.3+, MariaDB 10.11+ or MySQL 8.0+, HTTPS required on every install. Shows the 'free' CMS still carries an infrastructure bill.",2026-07-29 200
webflow-vs-wordpress-us-small-business-2026,https://developers.webflow.com/,"Webflow's official developer platform: Data/CMS API, Site Management API, custom code, webhooks, DevLink, Code Components and Webflow Cloud - the real answer to 'what can and cannot be extended in Webflow'.",2026-07-29 200
webflow-vs-wordpress-us-small-business-2026,https://wordpress.org/about/,"WordPress is open source, licensed under GPLv2 - the licensing half of the lock-in comparison against Webflow's hosted model.",2026-07-29 200
webflow-vs-wordpress-us-small-business-2026,https://developers.google.com/search/docs/appearance/structured-data/faqpage,"Google's own docs now state the FAQ rich result 'is no longer shown in Google Search results, as announced in the changelog entry in May 2026'. Expanding these FAQ blocks is therefore an on-page UX and AI-citation play, NOT a rich-snippet play - do not promise FAQ rich results in the copy.",2026-07-29 200
