keyword,location,cluster,sv,kd,intent,score
ai automation,us,ai-agent-automation,9900,41.0,informational,1600.0
ai automation,in,ai-agent-automation,9900,44.0,informational,1600.0
ai automation job,us,ai-agent-automation,1600,0.0,informational,1600.0
audit seo,us,seo-cost-audit,6600,40.0,informational,1320.0
google search console seo audit,us,seo-cost-audit,1300,21.0,informational,975.0
ai seo,in,ai-seo-geo-aeo,4400,38.0,informational,880.0
ai in seo,in,ai-seo-geo-aeo,4400,42.0,informational,880.0
seo ai,in,ai-seo-geo-aeo,4400,40.0,informational,880.0
ai automation job,in,ai-agent-automation,880,8.0,informational,880.0
ai in seo,uk,ai-seo-geo-aeo,1900,34.0,informational,855.0
ai seo,uk,ai-seo-geo-aeo,1900,34.0,informational,855.0
shopify development,us,ecommerce-shopify,1900,27.0,informational,855.0
ai automation engineer,us,ai-agent-automation,590,0.0,informational,590.0
how much does it cost for seo,us,seo-cost-audit,720,19.0,informational,540.0
how much does a seo cost,us,seo-cost-audit,720,21.0,informational,540.0
how much does an seo cost,us,seo-cost-audit,720,21.0,informational,540.0
how much does seo cost,us,seo-cost-audit,720,21.0,informational,540.0
answer engine optimization,us,ai-seo-geo-aeo,2400,36.0,informational,480.0
answer engine optimization services,us,ai-seo-geo-aeo,480,6.0,informational,480.0
ai automation test,in,ai-agent-automation,480,13.0,informational,480.0
ai seo,us,ai-seo-geo-aeo,8100,52.0,informational,400.0
seo ai,us,ai-seo-geo-aeo,8100,52.0,informational,400.0
ai in seo,us,ai-seo-geo-aeo,8100,52.0,informational,400.0
ai automation engineer,in,ai-agent-automation,390,0.0,informational,390.0
generative engine optimization tools,us,ai-seo-geo-aeo,480,20.0,informational,360.0
generative engine optimization tool,us,ai-seo-geo-aeo,480,24.0,informational,360.0
ai automation testing,in,ai-agent-automation,480,21.0,informational,360.0
how much does seo optimization cost,us,seo-cost-audit,720,32.0,informational,324.0
seo how much does it cost,us,seo-cost-audit,720,27.0,informational,324.0
seo audit report format,us,seo-cost-audit,320,14.0,informational,320.0
what is seo audit,us,seo-cost-audit,320,4.0,informational,320.0
technical seo audit checklist,us,seo-cost-audit,320,11.0,informational,320.0
seo audit report templates,us,seo-cost-audit,320,7.0,informational,320.0
seo audit report template,us,seo-cost-audit,320,3.0,informational,320.0
seo audit report sample,us,seo-cost-audit,320,0.0,informational,320.0
generative engine optimization,us,ai-seo-geo-aeo,5400,57.0,informational,270.0
whisk ai automation,in,ai-agent-automation,260,9.0,informational,260.0
seo technical audit checklist,us,seo-cost-audit,260,8.0,informational,260.0
answer engine optimization tools,us,ai-seo-geo-aeo,320,16.0,informational,240.0
ai automation testing,us,ai-agent-automation,320,20.0,informational,240.0
what is seo marketing,us,ai-seo-geo-aeo,4400,47.0,informational,220.0
seo audit screaming frog,us,seo-cost-audit,480,30.0,informational,216.0
screaming frog seo audit,us,seo-cost-audit,480,26.0,informational,216.0
what is seo for ai called,us,ai-seo-geo-aeo,210,15.0,informational,210.0
no code ai automation,us,ai-agent-automation,170,14.0,informational,170.0
how much does a web design cost,us,web-design,170,10.0,informational,170.0
how much does web design cost,us,web-design,170,13.0,informational,170.0
how much does it cost for web design,us,web-design,170,9.0,informational,170.0
small business web design templates,us,web-design,170,5.0,informational,170.0
small business web design template,us,web-design,170,7.0,informational,170.0
otto seo ai,us,ai-seo-geo-aeo,210,22.0,informational,157.5
profound ai seo,us,ai-seo-geo-aeo,210,21.0,informational,157.5
make ai automation,us,ai-agent-automation,210,22.0,informational,157.5
how much does it cost for seo services,us,seo-cost-audit,210,25.0,informational,157.5
audit site seo,us,seo-cost-audit,2900,63.0,informational,145.0
what is answer engine optimization,us,ai-seo-geo-aeo,320,32.0,informational,144.0
checklist for seo audit,us,seo-cost-audit,320,26.0,informational,144.0
audit seo ecommerce,uk,seo-cost-audit,140,6.0,informational,140.0
how much does seo cost for a small business,us,seo-cost-audit,140,12.0,informational,140.0
how much should web design cost,us,web-design,170,17.0,informational,127.5
aeo answer engine optimization,us,ai-seo-geo-aeo,260,32.0,informational,117.0
seo audit format,us,seo-cost-audit,260,31.0,informational,117.0
auto seo ai,us,ai-seo-geo-aeo,110,6.0,informational,110.0
what's the best generative engine optimization strategy for ai,us,ai-seo-geo-aeo,110,12.0,informational,110.0
nate herk ai automation,us,ai-agent-automation,110,15.0,informational,110.0
how to choose a web design agency,us,web-design,110,0.0,informational,110.0
how much should seo cost per month,us,seo-cost-audit,110,14.0,informational,110.0
alli ai seo,us,ai-seo-geo-aeo,140,24.0,informational,105.0
